Brand,Product_name,Processor,RAM,ROM,Battery,Display_Size,Camera,No_of_ratings,No_of_reviews,Rating,Price
realme,"realme P4x 5G (Lake Green, 256 GB)",Dimensity 7400 Ultra,8 GB,256 GB,7000 mAh,6.72 inch,50MP + 2MP | 8MP Front Camera,4649,347,4.3,20999.0
realme,"realme P4 5G (Steel Grey, 128 GB)",Mediatek Dimensity 7400,8 GB,128 GB,7000 mAh,6.77 inch,50MP + 8MP | 16MP Front Camera,17042,1169,4.4,20999.0
Samsung,"Samsung Galaxy M56 5G (Light Green, 128 GB)",Octacore,8 GB,128 GB,5000 mAh,6.7 inch,50MP + 50MP + 8MP | 12MP + 2MP Dual Front Camera,2114,155,4.4,24509.0
Samsung,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 256 GB)",8 Gen 3,8 GB,256 GB,4000 mAh,6.2 inch,50MP + 12MP | 12MP Front Camera,57200,3714,4.6,55999.0
MOTOROLA,"MOTOROLA Edge 70 Fusion (Pantone SILHOUETTE, 128 GB)",Snapdragon 7s Gen 4,8 GB,128 GB,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera,6364,675,4.4,26999.0
vivo,"vivo T5x 5G (Star Silver, 128 GB)",Turbo,6 GB,128 GB,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera,5888,390,4.4,22999.0
OPPO,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",Snapdragon 6 Gen 4,8 GB,128 GB,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera,72919,4891,4.4,21914.0
realme,"realme Gt 7 (Icesense Black, 512 GB)",Dimensity,12 GB,512 GB,7000 mAh,6.78 inch,50MP + 50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera,767,78,4.4,41999.0
OPPO,"OPPO K14 5G (Prism Violet, 256 GB)",Dimensity 6300,8 GB,256 GB,7000 mAh,6.75 inch,50MP Rear Camera | 8MP Front Camera,218,26,4.3,23999.0
vivo,"vivo X200T (Stellar Black, 512 GB)",,12 GB,512 GB,6200 mAh,6.67 inch,50MP + 50MP + 50MP | 32MP Front Camera,2173,376,4.6,69999.0
vivo,"vivo T4R 5G (Arctic White, 128 GB)",Dimensity 7400 5G,8 GB,128 GB,5700 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera,48893,2744,4.4,22999.0
OPPO,"OPPO Reno14 5G (Pearl White, 256 GB)",Dimensity 8350,8 GB,256 GB,6000 mAh,6.59 inch,50MP + 8MP + 50MP | 50MP Front Camera,4573,445,4.4,36999.0
Samsung,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",8 Gen 3,8 GB,128 GB,4000 mAh,6.2 inch,50MP + 12MP | 12MP Front Camera,57200,3714,4.6,49999.0
